feature,spearman_rho,spearman_p,pearson_r,pearson_p,n
time_to_last_peak_s,0.9906867345373234,1.54393297926636e-54,0.998674305013587,2.6014486228841458e-80,63
n_peaks,0.9523297170049965,3.770775134196199e-33,0.9849621878881673,3.158196429545405e-48,63
peak_duration_span_s,0.9516562652765652,5.727663523895561e-33,0.9929145335132016,3.811772877690059e-58,63
jerk_peak_total_duration_s,0.9132522033518654,1.8050060444369249e-25,0.9752388803808082,1.1077010960143959e-41,63
n_jerk_peaks,0.9026476064275977,5.1930872147763484e-24,0.9768496556594318,1.4572566172218865e-42,63
peak_total_duration_s,0.89395357871668,6.192375307643445e-23,0.9414078195027439,1.735834420922165e-30,63
n_accel_peaks,0.8699408659752697,2.1770237778217684e-20,0.9772451111434338,8.665469969103688e-43,63
accel_peak_total_duration_s,0.8646935993257708,6.715428553600163e-20,0.9709300543143375,1.3880658482559843e-39,63
n_high_peaks,0.804761708172664,1.9106932772992184e-15,0.9468295178649203,9.724917667072732e-32,63
zero_crossings,0.7317521121483692,9.583180899366507e-12,0.9079068474921553,1.0325803488448522e-24,63
spectral_energy,0.6969587871980647,2.2286458857433035e-10,0.880459583077197,1.9501190194024477e-21,63
area_under_curve_mm,0.5946568740200047,2.7628386015373215e-07,0.7364893800381838,6.012194305044822e-12,63
time_to_max_speed_s,0.49694554826321136,3.429529281150256e-05,0.7478422113686067,1.886832612252662e-12,63
peak_max_duration_s,0.4878423471212794,5.002183262273457e-05,0.6234418087884013,4.826620882295182e-08,63
jerk_mean_mm_s3,-0.451693430827014,0.0002024580650623832,-0.37202981999309265,0.002679197662868874,63
accel_neg_mean_mm_s2,-0.4502772382231883,0.00021319226022068188,-0.35284749594045406,0.00456245737123511,63
accel_mean_mm_s2,-0.4477808987181394,0.00023339038607085588,-0.36698954259406136,0.003091025179041971,63
jerk_q95_mm_s3,-0.44576462450252297,0.00025096601311990076,-0.37599061810151946,0.0023906573645027223,63
mean_abs_diff_mm_s,-0.44492451024601615,0.00025863995427872593,-0.3163109550871923,0.011550911333676164,63
accel_pos_mean_mm_s2,-0.44045990305429417,0.000303141925901146,-0.3801263561528002,0.002119284349263823,63
peak_mean_magnitude_mm_s,-0.4402678769385212,0.0003052041493985892,-0.3462058708545456,0.005445729849775814,63
dominant_freq_hz,-0.42507381052798343,0.0005153987306529478,-0.16450191915630005,0.19762613185733083,63
jerk_median_mm_s3,-0.42168935023748455,0.000577296616310239,-0.3401900201097902,0.0063722609867548595,63
accel_q95_mm_s2,-0.41967307602186815,0.0006173053213896209,-0.371554153292824,0.0027158571456369026,63
speed_iqr_mm_s,-0.4190729944100775,0.0006296891905446117,-0.3289372136948079,0.008481755217460071,63
peak_to_avg_ratio,0.4176327985417801,0.0006603349686717868,0.4307323272120099,0.0004252444103111248,63
jerk_peak_mean_mm_s3,-0.4114879628370445,0.000806862270707802,-0.37478670391973123,0.002475278176870749,63
time_from_max_to_end_s,0.40491106837181956,0.0009957428701349532,0.3987506166423555,0.0012079444320402827,63
speed_q75_mm_s,-0.4035908888258803,0.0010381529267967657,-0.3187830394506285,0.010883837231811832,63
speed_mean_mm_s,-0.40272677130490186,0.0010667876473235821,-0.29398100988993414,0.019355598725865862,63
accel_median_mm_s2,-0.39931830774993127,0.0011868123788404364,-0.3377374240685625,0.006788002800124806,63
speed_rms_mm_s,-0.3986702196091974,0.0012109644128817823,-0.2736884093438954,0.029972026035080108,63
accel_peak_mean_mm_s2,-0.38364417604996104,0.001910501057984956,-0.3596859169507872,0.003787631442911176,63
speed_std_mm_s,-0.370058328359022,0.0028340693911022238,-0.23689866660707537,0.06157026651222299,63
speed_median_mm_s,-0.35875279079288724,0.003885974132242288,-0.25326556122011107,0.04520297598439041,63
accel_std_mm_s2,-0.34391877334942383,0.005782980381532749,-0.2657023643056935,0.03531665419503711,63
speed_kurtosis,0.3425985938034845,0.005985895773787846,0.3784505899671987,0.002225733863614077,63
jerk_std_mm_s3,-0.34019826735632214,0.006370901551110033,-0.2519211708333329,0.04639609741668875,63
speed_skew,0.3314850823531228,0.00795709954229223,0.3732659234333839,0.0025859848230543638,63
high_peak_mean_mm_s,-0.32754854697977653,0.00878021451848576,-0.2797620292107027,0.026376569116339052,63
freq_bandwidth_hz,-0.3209621671469366,0.010323762146717434,-0.2943595389072585,0.019192923904079603,63
peak_to_avg_freq_ratio,0.3111543173456575,0.013057053965964164,0.20168065839167768,0.11295036236532734,63
median_freq_hz,-0.29118360130526666,0.020594616029035968,-0.260408979859586,0.03927897167224593,63
jerk_peak_max_mm_s3,0.2765176067131046,0.028249132015405524,0.4295375417114964,0.0004429877105068711,63
jerk_max_mm_s3,0.2619716284433007,0.03807272800067103,0.4093757637678449,0.0008636508235988868,63
accel_peak_max_mm_s2,0.23948056963338926,0.05870946489013486,0.40705868837566,0.0009300832339112831,63
time_to_first_peak_s,0.2264260288179871,0.0743478546800595,-0.02364412633217214,0.8540628551543152,63
accel_max_mm_s2,0.21701351408794953,0.08755772729282982,0.3673411192852812,0.003060572198964277,63
speed_cv,0.21521326925257775,0.09028274335743537,0.2170172603461127,0.08755212485410074,63
accel_peak_mean_duration_s,-0.16814286762372377,0.18774872653218133,-0.23396272585077144,0.06495898148955684,63
speed_min_mm_s,-0.16619860320152224,0.1929780918019575,-0.2640696261497079,0.03650168923453763,63
speed_max_mm_s,0.16557451832526002,0.19467856902884764,0.3209098836307427,0.010336901318902983,63
peak_max_magnitude_mm_s,0.16557451832526002,0.19467856902884764,0.32246416271416456,0.009952439347194562,63
speed_q25_mm_s,-0.16106190460459477,0.2072939899127508,-0.1649978738102431,0.1962592869375678,63
jerk_peak_mean_duration_s,0.11699191103469374,0.3611686562878276,-0.007974282006681283,0.9505410087151074,63
peak_std_magnitude_mm_s,0.07433811006861848,0.5625709447668549,0.09787300484078232,0.4453909504897991,63
mean_freq_hz,-0.07128969548072227,0.5787437633903069,-0.14694985100671204,0.250443152871254,63
accel_balance_ratio,-0.0555915605162804,0.6652012340849378,-0.17688619984353662,0.165490833449088,63
peak_mean_duration_s,0.039077314559803324,0.7610732985444106,0.030515256529779627,0.81233686709215,63
