feature,spearman_rho,spearman_p,pearson_r,pearson_p,n
thumb_tip_dominant_freq_hz,-0.3686655400716636,8.804271770660137e-09,-0.23113640248080727,0.0004211538592794882,229
index_finger_tip_speed_q75_mm_s,-0.3069212469108809,2.2024746502297812e-06,-0.24648738437940984,0.00016461338141133655,229
thumb_tip_peak_mean_magnitude_mm_s,-0.304976145924653,2.5714788701841874e-06,-0.23205145855150938,0.00039889381285374047,229
wrist_dominant_freq_hz,-0.3042017278334405,2.734212995030024e-06,-0.0842611896930271,0.20394720747284412,229
thumb_tip_speed_iqr_mm_s,-0.30392889915683025,2.793848160200989e-06,-0.23969437593507387,0.0002513342433804393,229
index_finger_tip_dominant_freq_hz,-0.3035260557522899,2.884173626910444e-06,-0.2622950017072243,5.866955797906677e-05,229
thumb_tip_speed_q75_mm_s,-0.30143719131754976,3.3989528641485735e-06,-0.23641407585421725,0.00030700582618331746,229
index_finger_tip_speed_iqr_mm_s,-0.2990693943553781,4.0881463138795485e-06,-0.2485512982677742,0.00014440821569632485,229
wrist_speed_q25_mm_s,-0.2934659246506397,6.287477041610546e-06,-0.24760658288868495,0.00015335027603475716,229
thumb_tip_accel_mean_mm_s2,-0.2918915570144711,7.084321645248124e-06,-0.22835853215583765,0.00049598565137731,229
wrist_speed_q75_mm_s,-0.2906569450090847,7.775384619902575e-06,-0.23705335372848313,0.00029532919950481115,229
wrist_speed_median_mm_s,-0.28900213523092205,8.802545028593781e-06,-0.22729273415637957,0.0005278322368468875,229
wrist_accel_mean_mm_s2,-0.2868731664915649,1.0314282600775185e-05,-0.21069501690854467,0.0013411599452917682,229
wrist_speed_mean_mm_s,-0.2818098083116435,1.4959320936860492e-05,-0.21044608199451748,0.0013593443327431956,229
thumb_tip_speed_mean_mm_s,-0.27964436580604063,1.749915132431043e-05,-0.21074436262564958,0.0013375818854584804,229
index_finger_tip_speed_mean_mm_s,-0.27320649624335186,2.7679369059119735e-05,-0.2165062946273593,0.0009751288404754272,229
