feature,spearman_rho,spearman_p,pearson_r,pearson_p,n
interval_peak_freq_hz,-0.3045256354318058,2.6649880713351857e-06,-0.0842292701447661,0.20411921057317653,229
interval_dominant_freq_hz,-0.3045256354318058,2.6649880713351857e-06,-0.0842292701447661,0.20411921057317653,229
interval_speed_median,-0.28900213523092205,8.802545028593781e-06,-0.22729273415637957,0.0005278322368468875,229
interval_accel_mean,-0.28636053520159066,1.0713455544730656e-05,-0.21063060962253305,0.0013458433163491695,229
interval_peak_mean_magnitude,-0.28530379526173144,1.1583017251844138e-05,-0.22194755157466756,0.0007180737370441005,229
interval_speed_mean,-0.2818098083116435,1.4959320936860492e-05,-0.21044608199451748,0.0013593443327431956,229
interval_jerk_mean,-0.2710210681124089,3.2257394823070986e-05,-0.1863687337242021,0.004659587553377674,229
interval_speed_iqr,-0.26856933152380863,3.8240822931271406e-05,-0.22202984403379422,0.0007147178429456386,229
interval_mean_abs_diff,-0.25761021386854943,8.020541731223503e-05,-0.18466424017698438,0.0050577116280269,229
interval_kinetic_energy,-0.2524024595455456,0.00011276417278194878,-0.21850343532625038,0.0008722811420721907,229
interval_speed_rms,-0.2524024595455456,0.00011276417278194878,-0.17995845001939229,0.0063201477637360405,229
interval_peak_to_avg_ratio,0.24807856950320883,0.00014881995546568925,0.1490517295909506,0.024080977275184844,229
interval_accel_q95,-0.24793916976646144,0.0001501447748650356,-0.15876837906199903,0.01618456836498774,229
interval_speed_kurtosis,0.24434275648650539,0.00018838692421377083,0.06727146532564413,0.3107832693795332,229
interval_speed_skew,0.24207788549483536,0.00021694871774011627,0.1420789325787671,0.031619068996282106,229
interval_speed_min,-0.23651988308774574,0.00030504402665348907,-0.2711816666790017,3.189802474844509e-05,229
interval_speed_std,-0.2060997627575368,0.001715499608759037,-0.13878594529351604,0.03582681413164979,229
interval_n_peaks,0.1977725928165141,0.0026452234020925597,0.29816424838836747,4.385217982008327e-06,229
interval_jerk_q95,-0.18924838311137432,0.004050596059966191,-0.09475981454195759,0.15290441389204543,229
interval_area_under_curve,-0.1795148839300984,0.006452583650487782,-0.09711952214300895,0.14289141397676747,229
interval_total_path_mm,-0.17013962708304434,0.009896512993843556,-0.08257088054546725,0.21320042530719974,229
interval_speed_from_path,-0.17013962708304434,0.009896512993843556,-0.08257088054546724,0.21320042530719974,229
interval_speed_cv,0.16636484209692767,0.011689695913645702,0.14366009025660534,0.02975315464947965,229
interval_spectral_entropy,0.156197654845771,0.018015425034270508,0.31860957080393726,8.480287439602032e-07,229
interval_spectral_energy,-0.14100807994664016,0.03293863658211763,-0.10005582081202771,0.13113929463855592,229
interval_speed_max,-0.13133403800075116,0.047124916443834035,-0.07074120867295594,0.28642965899056494,229
interval_peak_max_magnitude,-0.1259099392834404,0.05710390192463309,-0.0730578966491377,0.2709016315737645,229
interval_sample_entropy,-0.12133522964308509,0.06682264825895354,-0.1105896430926863,0.09501997730402936,229
interval_zero_crossings,0.07131786780074416,0.2825097920809244,0.13253625164631525,0.045122671180458374,229
interval_accel_max,-0.07122627050904896,0.2831300035780903,-0.01682242348788352,0.8001180664320813,229
interval_peak_std_magnitude,-0.06465299833468084,0.33003522081900877,-0.02511319086803845,0.7054220283686388,229
interval_n_high_peaks,-0.038488598258878085,0.5622749938143324,0.07929242783390529,0.2319976713589418,229
interval_jerk_max,-0.037937213661264624,0.5678923560378928,-0.03554488809998129,0.5925686704161706,229
interval_n_jerk_peaks,-0.03469837799331118,0.6014157431653254,0.16923610640708409,0.01030198514480151,229
interval_time_to_first_peak,-0.023255123985186022,0.7263120853168201,-0.0025420059022591528,0.9694827060256388,229
interval_n_accel_peaks,0.019264458477163765,0.7718500765064916,0.19550801833029843,0.0029672722572925163,229
interval_mean_freq_hz,-0.011442270147856828,0.8632715998925822,0.024868352225618395,0.7081625366776052,229
interval_peak_mean_duration,,,,,229
interval_peak_total_duration,,,,,229
