frame,time_s,WRIST_x,WRIST_y,THUMB_CMC_x,THUMB_CMC_y,THUMB_MCP_x,THUMB_MCP_y,THUMB_IP_x,THUMB_IP_y,THUMB_TIP_x,THUMB_TIP_y,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_TIP_x,RING_FINGER_TIP_y,PINKY_MCP_x,PINKY_MCP_y,PINKY_PIP_x,PINKY_PIP_y,PINKY_DIP_x,PINKY_DIP_y,PINKY_TIP_x,PINKY_TIP_y,WRIST_speed_mm_s,WRIST_speed_px_s,WRIST_accel_mm_s2,THUMB_CMC_speed_px_s,THUMB_CMC_speed_mm_s,THUMB_CMC_accel_mm_s2,THUMB_MCP_speed_px_s,THUMB_MCP_speed_mm_s,THUMB_MCP_accel_mm_s2,THUMB_IP_speed_px_s,THUMB_IP_speed_mm_s,THUMB_IP_accel_mm_s2,THUMB_TIP_speed_px_s,THUMB_TIP_speed_mm_s,THUMB_TIP_accel_mm_s2,INDEX_FINGER_MCP_speed_px_s,INDEX_FINGER_MCP_speed_mm_s,INDEX_FINGER_MCP_accel_mm_s2,INDEX_FINGER_PIP_speed_px_s,INDEX_FINGER_PIP_speed_mm_s,INDEX_FINGER_PIP_accel_mm_s2,INDEX_FINGER_DIP_speed_px_s,INDEX_FINGER_DIP_speed_mm_s,INDEX_FINGER_DIP_accel_mm_s2,INDEX_FINGER_TIP_speed_px_s,INDEX_FINGER_TIP_speed_mm_s,INDEX_FINGER_TIP_accel_mm_s2,MIDDLE_FINGER_MCP_speed_px_s,MIDDLE_FINGER_MCP_speed_mm_s,MIDDLE_FINGER_MCP_accel_mm_s2,MIDDLE_FINGER_PIP_speed_px_s,MIDDLE_FINGER_PIP_speed_mm_s,MIDDLE_FINGER_PIP_accel_mm_s2,MIDDLE_FINGER_DIP_speed_px_s,MIDDLE_FINGER_DIP_speed_mm_s,MIDDLE_FINGER_DIP_accel_mm_s2,MIDDLE_FINGER_TIP_speed_px_s,MIDDLE_FINGER_TIP_speed_mm_s,MIDDLE_FINGER_TIP_accel_mm_s2,RING_FINGER_MCP_speed_px_s,RING_FINGER_MCP_speed_mm_s,RING_FINGER_MCP_accel_mm_s2,RING_FINGER_PIP_speed_px_s,RING_FINGER_PIP_speed_mm_s,RING_FINGER_PIP_accel_mm_s2,RING_FINGER_DIP_speed_px_s,RING_FINGER_DIP_speed_mm_s,RING_FINGER_DIP_accel_mm_s2,RING_FINGER_TIP_speed_px_s,RING_FINGER_TIP_speed_mm_s,RING_FINGER_TIP_accel_mm_s2,PINKY_MCP_speed_px_s,PINKY_MCP_speed_mm_s,PINKY_MCP_accel_mm_s2,PINKY_PIP_speed_px_s,PINKY_PIP_speed_mm_s,PINKY_PIP_accel_mm_s2,PINKY_DIP_speed_px_s,PINKY_DIP_speed_mm_s,PINKY_DIP_accel_mm_s2,PINKY_TIP_speed_px_s,PINKY_TIP_speed_mm_s,PINKY_TIP_accel_mm_s2,WRIST_path_mm,THUMB_CMC_path_mm,THUMB_MCP_path_mm,THUMB_IP_path_mm,THUMB_TIP_path_mm,INDEX_FINGER_MCP_path_mm,INDEX_FINGER_PIP_path_mm,INDEX_FINGER_DIP_path_mm,INDEX_FINGER_TIP_path_mm,MIDDLE_FINGER_MCP_path_mm,MIDDLE_FINGER_PIP_path_mm,MIDDLE_FINGER_DIP_path_mm,MIDDLE_FINGER_TIP_path_mm,RING_FINGER_MCP_path_mm,RING_FINGER_PIP_path_mm,RING_FINGER_DIP_path_mm,RING_FINGER_TIP_path_mm,PINKY_MCP_path_mm,PINKY_PIP_path_mm,PINKY_DIP_path_mm,PINKY_TIP_path_mm
0,0.0,392.80651092529297,250.50384521484375,382.14935302734375,224.21995639801025,359.24774169921875,210.45949459075928,339.36023712158203,211.08538627624512,324.57592010498047,214.62628841400146,356.3112258911133,211.28233909606934,326.38404846191406,202.25337982177734,314.0028190612793,201.27164840698242,308.16036224365234,202.35440254211426,348.33091735839844,229.04096603393555,313.44831466674805,216.97288513183594,301.41258239746094,210.82720756530762,297.6042938232422,208.84310245513916,342.4765396118164,246.285982131958,307.57740020751953,236.0401439666748,303.4665107727051,227.9346799850464,306.7268371582031,224.1851806640625,339.5927047729492,260.28456687927246,315.17778396606445,249.49716567993164,313.04508209228516,241.1894702911377,316.0598564147949,236.75165176391602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04,397.1290588378906,251.33119583129883,385.0795364379883,224.32456970214844,361.50108337402344,211.2511110305786,341.2425994873047,211.58743858337402,326.5758514404297,216.66018962860107,357.6162338256836,209.90334033966064,324.88452911376953,201.77461624145508,312.9255676269531,201.77053928375244,309.16465759277344,203.40827465057373,350.0843811035156,228.17708015441895,312.44510650634766,216.78606033325195,299.23168182373047,211.16247653961182,294.9679183959961,209.45550441741943,344.481201171875,246.45023345947266,308.6717987060547,236.41971588134766,303.89793395996094,228.96403312683105,306.28015518188477,225.56509494781494,342.0698928833008,261.5580654144287,316.43590927124023,249.8291301727295,314.73209381103516,241.99607849121094,318.02215576171875,237.4742603302002,114.77237700076407,110.02536497113675,,73.30125665455508,76.46381782594729,,59.70869540529584,62.28480951713403,,48.70411042062089,50.80543494810268,,71.31128722571493,74.38799175105308,,47.46500868711202,49.5128725345366,,39.352357309496035,41.05020319795435,,29.67914629502247,30.959644337710174,,36.39415792107878,37.96437316648914,,48.86802327614504,50.976419775596085,,25.51139596410644,26.612077643880635,,55.16301182421105,57.54300375415101,,67.66420562597956,70.58355788775997,,50.284481135876305,52.45399029331643,,28.95883837454054,30.208258943734197,,27.902664041762787,29.106516279832114,,36.26024181586225,37.8246792902778,,69.63413069892638,72.63847479891787,,32.52959909838065,33.93307908937614,,46.748163918658506,48.765099709265314,,52.2779940976899,54.533512785872595,,4.590895080030562,3.0585527130378916,2.4913923806853613,2.032217397924107,2.9755196700421234,1.980514901381464,1.6420081279181742,1.238385773508407,1.5185749266595656,2.0390567910238433,1.0644831057552253,2.3017201501660405,2.8233423155103985,2.0981596117326573,1.2083303577493678,1.1642606511932845,1.512987171611112,2.905538991956715,1.3573231635750458,1.9506039883706126,2.181340511434904
2,0.08,400.1434326171875,253.17160606384277,387.00145721435547,225.43601989746094,363.93898010253906,211.50321006774902,343.3680725097656,210.17071723937988,328.28311920166016,214.14010047912598,358.3314514160156,209.66312885284424,326.2175750732422,202.12456226348877,313.9219856262207,201.9638442993164,309.0158271789551,202.91996955871582,350.8224868774414,227.1672534942627,312.6721954345703,216.7535161972046,298.7121772766113,212.10554122924805,293.2071876525879,210.45533180236816,345.6093978881836,245.28974533081055,310.81512451171875,235.84196090698242,303.63197326660156,229.69526767730713,303.1605911254883,226.39686584472656,343.75709533691406,261.12293243408203,318.52672576904297,250.59070587158203,314.3507194519043,243.27263832092285,315.00566482543945,238.07747840881348,92.10426934076237,88.2948154811658,-566.7026915000424,55.503946972783204,57.898648449490125,-464.1292344114291,61.27241622178692,63.91599660859551,40.77967728653711,63.85890176659886,66.61407531193868,395.21600909589995,76.09867167795629,79.38192649823054,124.84836867943656,18.861961720598313,19.67575551454336,-745.927925499831,34.455349261794424,35.94191517751446,-127.70720051099732,25.374884954253833,26.469676906635463,-112.24918577686776,12.76206181450773,13.31267722007542,-616.2923986603429,31.270493450944524,32.619649698896595,-458.91925191748726,5.735225699154307,5.9826703260697025,-515.7351829452733,26.917187623757975,28.07852177145414,-736.6120495674216,50.620077232730864,52.804065585121016,-444.48730756597377,40.46264116020464,42.208389919032875,-256.14000935708884,55.49575614196366,57.89010422768257,692.0461320987093,19.45249113581192,20.29176314778972,-220.36882830105986,80.71370208532615,84.19607103593414,1159.2847936414084,43.560251592363855,45.4396458427423,-679.9707239043892,55.62997827479591,58.030117334981156,602.4259561401253,33.30776374057354,34.74481741631428,-350.50705732377594,76.90533799345891,80.22339619479526,642.2470852230665,8.275065853661058,5.374498651017497,5.048032245029182,4.696780410401654,6.150796729971344,2.767545121963199,3.0796847350187524,2.2971728497738253,2.0510820154625824,3.3438427789797074,1.3037899187980135,3.424861021024206,4.93550493891524,3.7864952084939723,3.5239345268566704,1.975931177104873,4.880830013048477,4.723124825666407,3.6785278569742923,3.3403966850231837,5.390276359226714
3,0.12,398.2394027709961,253.0199146270752,386.1906433105469,225.5895709991455,363.32569122314453,209.74987506866455,341.00948333740234,207.24748134613037,324.43004608154297,210.96004486083984,357.12894439697266,208.1654691696167,317.6731491088867,201.08174800872803,309.2091369628906,202.14566230773926,311.61338806152344,204.83935832977295,350.06195068359375,226.34400844573975,305.4518127441406,215.88326454162598,296.1347198486328,211.29446983337402,296.624698638916,210.71491241455078,344.87709045410156,244.32852745056152,305.6674575805664,232.54383087158203,303.5252380371094,226.91970348358154,308.1249809265137,225.59972763061523,343.20606231689453,260.304479598999,315.48988342285156,247.5817108154297,314.33849334716797,240.2519989013672,318.13146591186523,237.0912265777588,49.811797773473,47.751570309102675,-1057.3117891822342,20.630637524048378,21.52074031562948,-909.447703346516,46.437504162876984,48.4410366296393,-386.87399947390537,93.90237940133485,97.9537699579188,783.4923661495029,124.89727329980727,130.2859294426646,1272.6000736108517,48.01697393639058,50.088652162244614,760.3224161925314,215.19566188454533,224.4802154596008,4713.457507052159,117.9088639364079,122.99600721153043,2413.158257622374,80.74410115106517,84.22778166042865,1772.8776110088309,28.01949892563472,29.228391970424987,-84.78144321179019,181.81595113653734,189.6603469033652,4591.941914432387,67.5514785286315,70.46596721293305,1059.6861360369728,85.68387915724921,89.38068493663742,914.4154837879101,30.209828608855045,31.513222783978524,-267.37917837635877,152.84006461921552,159.43430427974076,2538.6050013014546,69.44039261619598,72.43637794355755,1303.6153698941955,125.69953119672303,131.12280052071839,1173.1682371196061,24.666556716626186,25.73078805540908,-492.72144468333056,106.87744933909869,111.48864547411429,1336.4632034783285,75.5166040542186,78.77474573796599,1100.7482080412929,81.94252980808912,85.47791616958074,131.362999369637,10.267537764599979,6.235328263642675,6.985673710214753,8.614931208718406,11.362233907677927,4.771091208452983,12.058893353402784,7.217013138235043,5.420193281879729,4.512978457796707,8.89020379493262,6.243499709541528,8.510732336380736,5.047024119853113,9.901306698046302,4.873386294847175,10.125742033877213,5.75235634788277,8.138073675938864,6.491386514541823,8.809393006009943
4,0.16,399.1777038574219,255.28690338134766,386.224365234375,225.2850580215454,363.91414642333984,209.4087553024292,341.1510467529297,206.38322353363037,324.01721954345703,208.43191623687744,356.1442565917969,207.71637439727783,317.00963973999023,200.96660614013672,307.55382537841797,202.34609127044678,308.6993408203125,204.07313346862793,349.40486907958984,225.41902542114258,305.73497772216797,215.88722705841064,296.0183525085449,212.2997760772705,295.7676124572754,210.61527729034424,344.35791015625,243.35660934448242,305.3582000732422,233.27224731445312,300.74817657470703,227.39662170410156,302.88015365600586,224.02660846710205,343.06529998779297,259.5096015930176,315.3274154663086,247.79202461242676,313.13833236694336,240.7968807220459,316.3637161254883,236.80299282073975,63.98380704527419,61.33742200313772,354.3002317950297,7.659361986873786,7.989822908321293,-338.2729351827047,17.00445194561865,17.738104026338828,-767.5733150825118,21.894373807599703,22.83900012965824,-1877.869245706514,64.04031976929676,66.80332054103499,-1587.0652225407405,27.056609499852296,28.22395896340937,-546.6173299708811,16.835645453102423,17.562014427323803,-5172.955025806925,41.68504086286071,43.48352969753458,-1987.8119378498961,75.32750104479514,78.57748393478794,-141.2574431410178,28.365359927573536,29.58917504362631,9.01957683003305,7.079817543574783,7.38527419037375,-4556.876817824786,25.300469386164416,26.39205070073535,-1101.8479128049426,21.571449312907788,22.50214315256678,-1671.9635446017662,27.547379487457885,28.735903077867935,-69.43299265276472,19.78368519894244,20.637246481419226,-3469.9264449580382,70.4428906767045,73.48212848820152,26.14376361609949,136.89164738962995,142.79779727683592,291.8749189029384,20.181134099808652,21.051843198282857,-116.97362142815555,6.643969545317622,6.930621658349686,-2613.950595394115,32.951503920153655,34.37318687066526,-1110.0389716825182,44.77735201751744,46.70925770797139,-969.2164615402337,12.826890046410947,6.554921179975526,7.695197871268306,9.528491213904736,14.034366729319327,5.900049566989358,12.761373930495736,8.956354326136426,8.563292639271246,5.696545459541759,9.185614762547571,7.299181737570942,9.410818062483408,6.19646024296783,10.726796557303068,7.812671434375236,15.83765392495065,6.594430075814085,8.41529854227285,7.866313989368433,10.6777633143288
5,0.2,398.9527893066406,255.9741497039795,385.71277618408203,225.93164920806885,362.68775939941406,210.06433010101318,339.21215057373047,207.35398292541504,321.8223571777344,210.0827121734619,354.32762145996094,209.73624229431152,313.37533950805664,202.584228515625,306.35168075561523,203.0074167251587,309.91024017333984,204.05930042266846,347.5047302246094,227.57224559783936,303.0880546569824,217.15850830078125,295.5241394042969,212.01014041900635,297.15417861938477,209.35672760009766,342.55584716796875,245.38155555725098,303.62342834472656,233.9297389984131,301.4238739013672,227.2331428527832,305.61452865600586,223.83171558380127,341.434326171875,261.1941719055176,313.3770942687988,248.59548568725586,312.73706436157227,240.80171585083008,317.355899810791,236.80169105529785,18.857817241185334,18.077853563201874,-1128.1497451022215,20.61254955830077,21.50187194991667,337.8012260398844,34.76531541090889,36.265254725017655,463.17876746697067,54.20846445927211,56.54727272374181,842.7068148520893,68.65924932551633,71.62153245521927,120.45529785460687,67.91552438364093,70.84571971934527,1065.5440188983973,99.45111966913987,103.74190899352119,2154.497364154935,34.30108463284587,35.78099484649614,-192.5633712759609,30.274459081899348,31.58064171978414,-1174.921055375095,71.79347462313596,74.89098298199643,1132.545198459253,73.4096285842949,76.5768654307397,1729.7897810091488,14.320776143173164,14.938641820265685,-286.3352220117416,46.81421421912425,48.83399973052911,658.2964144490581,67.7672403264423,70.69103799008703,1048.8783728054773,46.37973873722767,48.380778931680545,693.588311256533,17.379805308245906,18.129651899461187,-1383.8119147185084,68.53279268252851,71.48961987754178,-1782.7044349823534,58.618750871448796,61.14783964676431,1002.3999112120364,52.73342436385497,55.008592456997235,1201.9492699661887,10.032428376421873,10.465274549681489,-597.6978080245942,24.804613481847753,25.87480123918422,-520.8614117196793,13.58120273605836,7.414996057972194,9.145808060269012,11.790382122854407,16.899228027528096,8.733878355763167,16.911050290236584,10.387594119996272,9.826518308062612,8.692184778821616,12.248689379777161,7.896727410381569,11.36417805170457,9.024101762571311,12.662027714570291,8.537857510353684,18.697238720052322,9.040343661684657,10.61564224055274,8.284924971355693,11.712755363896168
6,0.24,398.34598541259766,258.66888999938965,384.80613708496094,227.07190990447998,360.443115234375,211.57792568206787,336.1331558227539,209.92000579833984,319.10037994384766,213.7575387954712,351.79080963134766,210.8674192428589,310.0336456298828,203.87118816375732,304.71900939941406,203.96613121032715,309.1371726989746,205.11302947998047,344.8447799682617,228.8311243057251,300.48728942871094,218.39715957641602,296.3576889038086,213.8894748687744,300.268497467041,212.19507694244385,340.0956726074219,246.80285453796387,300.9872817993164,235.33302783966064,300.47908782958984,228.48970413208008,305.6816864013672,225.5498456954956,339.13013458251953,262.5530433654785,311.98089599609375,249.66897010803223,312.33646392822266,241.2161636352539,317.1973419189453,237.11176872253418,72.0347701893235,69.05539545146404,1329.4238237034542,36.41933648348009,37.99063805056399,412.21915251618293,67.68215704042771,70.60228381070765,858.4257271422498,100.20192756664692,104.52511027706555,1199.4459388330934,114.32823022887246,119.26088811521377,1190.9838914998627,69.43961199631116,72.43556364405725,39.74609811779963,89.5236809151122,93.38615381263033,-258.8938795222717,47.333584941294546,49.37577854983796,339.86959258354545,32.67241043817688,34.08205198244837,62.535256566605746,73.57016619957116,76.74432939423689,46.33366030601138,72.01665065810154,75.12378788138781,-36.32693873379722,51.3973658263563,53.61489006663375,966.9062061592015,105.34232552155855,109.88728919071737,1526.3322365047065,71.03058171017568,74.09517527855952,85.10343221181245,74.65959491605808,77.88076119245811,737.4995565194391,39.30304512735514,40.99876345621035,571.7277889187291,42.986053286740635,44.84067392000906,-666.2236489383181,66.87596039101443,69.76130404383764,215.33660992683323,44.02938236531811,45.92901712499426,-226.98938330007437,14.41023232840372,15.03195756631229,114.16707541577003,8.706634136725738,9.08227930723204,-419.8130482988045,16.4625935436313,8.934621579994753,11.969899412697318,15.971386533937029,21.669663552136647,11.631300901525458,20.646496442741796,12.36262526198979,11.189800387360547,11.761957954591091,15.253640895032673,10.04132301304692,15.759669619333264,11.987908773713691,15.777258162268616,10.177808048602097,20.490865676852682,11.83079582343816,12.45280292555251,8.886203274008183,12.07604653618545
7,0.28,397.8934860229492,260.5421733856201,384.23805236816406,228.9547061920166,359.9610900878906,213.55749607086182,336.49871826171875,211.8202829360962,319.75107192993164,215.61264038085938,350.77442169189453,211.88053607940674,308.209228515625,203.23156356811523,305.6725311279297,204.5112705230713,312.5016212463379,206.20103359222412,343.3108901977539,229.74419116973877,299.41104888916016,218.45232009887695,296.7648124694824,215.323748588562,301.4459228515625,214.8308515548706,338.4162902832031,247.7658748626709,299.13917541503906,236.06592178344727,302.26850509643555,230.78890800476074,310.4427719116211,229.58752155303955,337.40550994873047,263.6210346221924,310.1276969909668,250.7629108428955,313.05898666381836,243.94317626953125,320.44849395751953,241.91222190856934,50.25767337445107,48.17900439220971,-544.4274203718105,49.16580433733814,51.28704851314136,332.4102615644342,50.935296983238295,53.132885399104964,-436.7349602900671,48.377997950136006,50.465252450939765,-1351.4964456531447,49.14774888578108,51.26821406443428,-1699.8168512694874,35.87696133978684,37.42486229072774,-875.2675338332378,48.33229659184368,50.41757932097787,-1074.2143622913113,27.45883916258319,28.643542706703027,-518.3058960783734,88.39989739853347,92.21388498656596,1453.2958251029397,44.62698823461728,46.55240652385758,-754.7980717594827,26.941329567816435,28.10370531259246,-1175.5020642198838,37.27340456847486,38.881554652031795,-368.3333853650488,72.1701043699406,75.28386230851632,-865.0856720550262,48.39765707589319,50.485759763898926,-590.2353878665149,49.70306039650491,51.84748432705399,-650.831921635103,72.83694376411648,75.9794722923359,874.5177209031388,156.0664152823705,162.79985489386897,2948.9795243464973,50.71325918762102,52.90126784806399,-421.5009048943413,53.799703089310505,56.12087546462897,254.79645849086782,70.52764090660199,73.57053524185552,1463.464441888581,144.94468852212293,151.19828450179182,3552.9001298639946,18.472900478609343,10.986103520520407,14.095214828661517,17.98999663197462,23.720392114714016,13.128295393154566,22.66319961558091,13.508366970257912,14.878355786823185,13.624054215545396,16.377789107536373,11.596585199128192,18.77102411167392,14.007339164269647,17.851157535350776,13.216986940295532,27.00285987260744,13.94684653736072,14.697637944137668,11.829024683682405,18.12397791625712
8,0.32,397.59239196777344,260.2705478668213,384.1472625732422,228.53044509887695,359.67864990234375,213.05439949035645,336.21376037597656,209.308819770813,318.7786102294922,211.64855003356934,350.2779769897461,211.09394073486328,306.94225311279297,201.99076652526855,304.7711372375488,203.79103660583496,312.0346450805664,205.59710025787354,342.31815338134766,229.3231201171875,298.0143165588379,217.76604652404785,297.43736267089844,215.58404445648193,304.08172607421875,215.38352966308594,337.55348205566406,247.41851806640625,297.91881561279297,235.80003261566162,302.9629325866699,231.61707401275635,312.80351638793945,230.81336975097656,336.7324447631836,262.9966449737549,310.2117729187012,250.55594444274902,313.6336135864258,244.425630569458,321.25732421875,242.60207176208496,10.57513035356625,10.137740518877004,-992.0635755221206,10.846666020430124,11.314642237494608,-999.3101568911687,14.423908704992868,15.046224006149192,-952.1665348238944,63.189438532187594,65.91572828306805,386.2618958032071,102.04072116163863,106.4432380811982,1379.375600419098,23.253891856373883,24.257174185015263,-329.1922026428119,44.33398789951151,46.246764775421376,-104.2703636389124,28.844928509548335,30.089434471100805,36.14729410994446,19.08537089858443,19.908803615842366,-1807.62703426809,26.958616641357114,28.1217382318395,-460.7667073004519,38.90559585455045,40.584166351361056,312.01152596921486,18.029103421289918,18.806963788730734,-501.86477158252654,67.32807605238672,70.23292610252004,-126.27340514990699,23.25261788246029,24.255845245871654,-655.7478629506818,31.22474075636846,32.57192301776209,-481.88903273229755,27.019535478896913,28.18528539471781,-1194.8546724404523,66.50102577617254,69.37019298525074,-2335.741547715456,22.95211288028776,23.942375043714097,-723.9723201087472,5.584792543930713,5.825746776583945,-1257.3782172011256,18.757635973502467,19.56692866375571,-1350.0901644524954,26.576531139777227,27.723167763608316,-3086.8779184545874,18.895905692751995,11.438689210020192,14.697063788907485,20.626625763297344,27.978121637961944,14.098582360555179,24.513070206597767,14.711944349101943,15.674707931456881,14.748923744818976,18.001155761590812,12.348863750677422,21.580341155774722,14.977572974104515,19.154034456061257,14.344398356084247,29.77766759201747,14.904541539109283,14.930667815201026,12.611701830232635,19.232904626801457
9,0.36,396.917724609375,258.8360023498535,383.7246322631836,227.27086544036865,358.71299743652344,211.34997367858887,334.6225357055664,206.64100170135498,316.7900085449219,208.17214965820312,349.532470703125,209.83584880828857,305.3017234802246,200.027117729187,308.3411979675293,203.2140827178955,318.9323425292969,205.27220249176025,341.55364990234375,228.23667526245117,296.0751533508301,215.63461303710938,300.3007698059082,214.79968070983887,310.5638885498047,216.26508235931396,336.8424987792969,246.4767837524414,297.4475860595703,234.068341255188,305.89643478393555,231.4265012741089,317.0729446411133,232.40853309631348,336.08192443847656,261.99265480041504,309.8091697692871,249.11396026611328,315.3824234008789,244.77410316467285,324.01187896728516,245.09488105773926,41.34178108329269,39.631875466130964,769.1662682431609,33.21480557586585,34.6478485989154,583.3301590355198,48.974177076830614,51.08715355080824,901.0232386164763,77.6581016517617,81.00863761985998,377.32273341979834,100.12459809445622,104.44444444752826,-49.96984084174869,36.55966800232216,38.13702413153593,346.99624866301673,63.96900650748459,66.72893048950453,512.0541428520789,90.40951762866676,94.31020969079871,1605.519380492448,172.6336233411821,180.08185027443267,4004.3261664647575,33.211707195958375,34.64461654031759,163.07195771195228,72.03888991602845,75.14698664556073,864.0705073549918,74.22233031521235,77.4246309389432,1465.4416787553116,163.5457992354919,170.60193466907631,2509.225214163907,29.499584079405416,30.772334963082795,162.9122429302785,44.86655393894101,46.802308220073805,355.7596300577929,73.49214715735725,76.66294424338042,1211.9414712165653,113.9423201320118,118.85832804066267,1237.2033763852983,29.907910335519,31.198278335488535,181.39758229436094,37.42832868952658,39.04316292874621,830.4354038040566,44.579766407694294,46.5031473250929,673.4054665334296,92.87649745487973,96.88362663644277,1729.0114718208613,20.549576936083703,12.824603153976806,16.740549930939814,23.866971268091742,32.155899415863075,15.624063325816616,27.182227426177953,18.484352736733893,22.87798194243419,16.13470840643168,21.007035227413244,15.44584898823515,28.404418542537773,16.208466372627825,21.02612678486421,17.410916125819462,34.532000713643974,16.152472672528823,16.492394332350877,14.471827723236352,23.108249692259164
