frame,time_s,WRIST_x,WRIST_y,WRIST_speed_px_s,WRIST_speed_mm_s,WRIST_accel_mm_s2,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_speed_px_s,THUMB_CMC_speed_mm_s,THUMB_CMC_accel_mm_s2,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_speed_px_s,THUMB_MCP_speed_mm_s,THUMB_MCP_accel_mm_s2,THUMB_IP_x,THUMB_IP_y,THUMB_IP_speed_px_s,THUMB_IP_speed_mm_s,THUMB_IP_accel_mm_s2,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_speed_px_s,THUMB_TIP_speed_mm_s,THUMB_TIP_accel_mm_s2,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_speed_px_s,INDEX_FINGER_MCP_speed_mm_s,INDEX_FINGER_MCP_accel_mm_s2,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_speed_px_s,INDEX_FINGER_PIP_speed_mm_s,INDEX_FINGER_PIP_accel_mm_s2,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_speed_px_s,INDEX_FINGER_DIP_speed_mm_s,INDEX_FINGER_DIP_accel_mm_s2,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_speed_px_s,INDEX_FINGER_TIP_speed_mm_s,INDEX_FINGER_TIP_accel_mm_s2,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_speed_px_s,MIDDLE_FINGER_MCP_speed_mm_s,MIDDLE_FINGER_MCP_accel_mm_s2,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_speed_px_s,MIDDLE_FINGER_PIP_speed_mm_s,MIDDLE_FINGER_PIP_accel_mm_s2,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_speed_px_s,MIDDLE_FINGER_DIP_speed_mm_s,MIDDLE_FINGER_DIP_accel_mm_s2,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_speed_px_s,MIDDLE_FINGER_TIP_speed_mm_s,MIDDLE_FINGER_TIP_accel_mm_s2,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_speed_px_s,RING_FINGER_MCP_speed_mm_s,RING_FINGER_MCP_accel_mm_s2,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_speed_px_s,RING_FINGER_PIP_speed_mm_s,RING_FINGER_PIP_accel_mm_s2,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_speed_px_s,RING_FINGER_DIP_speed_mm_s,RING_FINGER_DIP_accel_mm_s2,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_speed_px_s,RING_FINGER_TIP_speed_mm_s,RING_FINGER_TIP_accel_mm_s2,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_speed_px_s,PINKY_MCP_speed_mm_s,PINKY_MCP_accel_mm_s2,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_speed_px_s,PINKY_PIP_speed_mm_s,PINKY_PIP_accel_mm_s2,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_speed_px_s,PINKY_DIP_speed_mm_s,PINKY_DIP_accel_mm_s2,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_speed_px_s,PINKY_TIP_speed_mm_s,PINKY_TIP_accel_mm_s2,WRIST_path_mm,THUMB_CMC_path_mm,THUMB_MCP_path_mm,THUMB_IP_path_mm,THUMB_TIP_path_mm,INDEX_FINGER_MCP_path_mm,INDEX_FINGER_PIP_path_mm,INDEX_FINGER_DIP_path_mm,INDEX_FINGER_TIP_path_mm,MIDDLE_FINGER_MCP_path_mm,MIDDLE_FINGER_PIP_path_mm,MIDDLE_FINGER_DIP_path_mm,MIDDLE_FINGER_TIP_path_mm,RING_FINGER_MCP_path_mm,RING_FINGER_PIP_path_mm,RING_FINGER_DIP_path_mm,RING_FINGER_TIP_path_mm,PINKY_MCP_path_mm,PINKY_PIP_path_mm,PINKY_DIP_path_mm,PINKY_TIP_path_mm
0,0.0,410.70423126220703,306.29096031188965,,,,419.5009994506836,291.38148307800293,,,,414.066162109375,272.4154758453369,,,,402.6860809326172,258.6840534210205,,,,391.6782760620117,251.08463287353516,,,,410.5082321166992,293.26340675354004,,,,395.73814392089844,267.4104309082031,,,,389.0061569213867,252.96415328979492,,,,386.49131774902344,244.48408126831055,,,,396.0361862182617,302.1832752227783,,,,379.67845916748047,275.9101867675781,,,,375.3425979614258,260.4797172546387,,,,376.6950988769531,252.94638633728027,,,,383.49864959716797,305.8525085449219,,,,368.41888427734375,280.4453659057617,,,,366.873779296875,265.45166015625,,,,369.4334030151367,258.01219940185547,,,,373.56800079345703,304.9354648590088,,,,360.9406280517578,284.58887100219727,,,,360.5786895751953,272.6710796356201,,,,363.2452392578125,265.7720947265625,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04,410.545654296875,302.3114776611328,99.56602338903244,103.86177020063248,,418.46946716308594,287.378568649292,103.34221905862901,107.80088872237778,,414.6687316894531,266.456823348999,149.72606167378916,156.18594859259787,,401.7024230957031,250.81695556640625,198.20887245876304,206.76053599732475,,389.0104675292969,246.22507095336914,138.59235283546886,144.5718791592117,,412.3284912109375,293.4485149383545,45.741175448402544,47.7146650174653,,395.1375198364258,267.70039558410645,16.67387185314823,17.39326115295308,,387.269287109375,250.5897045135498,73.54727958467244,76.7204553430659,,384.08748626708984,239.56031799316406,136.98049720493125,142.8904804913009,,396.6904067993164,302.79333114624023,22.36309457603226,23.327943717863942,,377.3124694824219,275.9534454345703,59.15962781995846,61.71205257222616,,371.6825866699219,257.31090545654297,121.02956990361544,126.25135512035888,,372.1934509277344,246.06144905090332,205.65018188669475,214.52289853314517,,383.1099319458008,305.55965423583984,12.167196134287067,12.692146234942925,,366.2570571899414,280.36731719970703,54.080888238957115,56.41419226490247,,363.51844787597656,261.7939567565918,124.0892901904197,129.44308613952987,,364.9013137817383,249.96136665344238,230.970426627532,240.9355777904177,,372.2068786621094,303.72802734375,45.48735270447919,47.44989116586679,,359.6936798095703,283.0924701690674,48.6960943767972,50.79707305442453,,359.3532943725586,268.5562992095947,107.33420749301798,111.96511032431997,,361.32896423339844,258.5753631591797,186.1871625914321,194.22015299155998,,4.154470808025299,4.312035548895111,6.247437943703915,8.27042143989299,5.782875166368468,1.908586600698612,0.6957304461181232,3.068818213722636,5.715619219652036,0.9331177487145577,2.4684821028890465,5.050054204814355,8.580915941325806,0.507685849397717,2.2565676905960985,5.1777234455811945,9.637423111616709,1.8979956466346715,2.0318829221769814,4.478604412972799,7.7688061196624
2,0.08,410.40550231933594,299.8697090148926,61.14468853961262,63.782758153119474,-1001.9753011878252,418.79154205322266,286.29395484924316,28.28558964067369,29.505963091146715,-1957.3731407807766,415.45928955078125,264.9352169036865,42.86802353243791,44.71755180665189,-2786.7099196486492,404.4968032836914,248.32194328308105,93.65377371255865,97.6944382497782,-2726.652443688664,395.76576232910156,242.1196460723877,197.62420348613958,206.1506416537414,1539.469062363242,415.19168853759766,293.55420112609863,71.62868010473247,74.71907845253791,675.1103358768154,396.24317169189453,269.2228317260742,47.03906509402058,49.06855173032773,791.8822644343661,388.08311462402344,251.80824279785156,36.63289824314277,38.21341386957065,-962.676036837381,384.7465515136719,239.50361251831055,16.53750491554342,17.25101070391049,-3140.98674468476,399.5871353149414,302.4798774719238,72.84096245922291,75.98366437286138,1316.393016374936,378.92417907714844,276.31473541259766,41.292692043785564,43.074253103991715,-465.9449867058612,373.4366989135742,258.15213203430176,48.63494061923757,50.73328083597119,-1887.9518571096924,372.864990234375,247.0388889312744,29.647446771425674,30.926577147485897,-4589.908034641482,385.50853729248047,305.00046730041504,61.57311526688296,64.22966922560148,1288.438074766464,367.6906967163086,281.0105895996094,39.28359765887073,40.978476932414786,-385.89288331219205,364.4271469116211,263.0497455596924,38.75193104361142,40.42387171732397,-2225.4803605551474,364.7705078125,251.9377899169922,49.51867777849856,51.65514657519318,-4732.010780380613,373.8299560546875,303.3079719543457,41.91380107185609,43.7221596985028,-93.19328668409969,360.54039001464844,283.4556484222412,23.03281103884513,24.026554900601127,-669.2629538455851,359.3107604980469,268.79430770874023,6.044479720500963,6.30526702126187,-2641.4960825764524,360.4216003417969,259.127254486084,26.550579895909493,27.696096860952302,-4163.101403265192,6.705781134150078,5.49227407254098,8.036140015969991,12.178198969884118,14.028900832518126,4.897349738800128,2.658472515331232,4.597354768505462,6.405659647808456,3.9724643236290134,4.191452227048715,7.079385438253203,9.817979027225242,3.0768726184217763,3.89570676789269,6.794678314274154,11.703628974624435,3.6468820345747837,2.9929451182010265,4.730815093823273,8.876649994100491
3,0.12,409.9264144897461,299.5619487762451,14.235552170390363,14.84974088422883,-1223.325431722266,417.4776077270508,285.8859443664551,34.395638963734434,35.87962869619656,159.34164012624618,414.0650939941406,266.98768615722656,62.030291425256834,64.70657011494106,499.7254577072292,403.78002166748047,249.86927032470703,42.63212447120247,44.471474949762175,-1330.5740825004007,395.05245208740234,239.76078987121582,61.608715286069746,64.26680519715143,-3547.095911414749,415.60951232910156,294.05665397644043,16.336989998988795,17.041844630222652,-1441.9308455578814,396.3203811645508,268.93850326538086,7.365628631866369,7.683416514055257,-1034.6283804068116,387.2284698486328,252.2343349456787,23.874309028514894,24.904359073676126,-332.72636989736316,382.71862030029297,240.2131462097168,53.71186475908408,56.02924737546508,969.4559167888649,400.5297088623047,302.96430587768555,26.494289154667843,27.637377472226493,-1208.6571725158724,378.3870315551758,276.1443901062012,14.087782467724413,14.69559570117839,-709.4664350703331,372.0942687988281,259.08310890197754,40.841435310269,42.603527031354886,-203.24384511540768,370.9490966796875,248.79684448242188,65.00507592057369,67.80970081286786,922.078091634549,386.77467346191406,305.7823848724365,37.20295593921223,38.80806653736807,-635.5400672058354,368.49109649658203,281.30541801452637,21.324334727375334,22.244366880881078,-468.3527512883427,364.25159454345703,264.83877182006836,44.940471697867046,46.87941513898051,161.3885855414136,364.17274475097656,254.89497184753418,75.42482038446437,78.67900208876009,675.5963878391727,374.8878860473633,304.31922912597656,36.58771085161164,38.166276881314786,-138.89707042970034,361.25877380371094,284.7219944000244,36.398037411338294,37.96842003621552,348.54662839035984,359.6461868286133,271.2454605102539,61.84992360345709,64.51842037648905,1455.3288338806794,360.5539321899414,262.4200630187988,82.38666363235401,85.94121201714002,1456.1278789046928,7.299770769519231,6.927459220388843,10.624402820567633,13.957057967874604,16.59957304040418,5.579023524009034,2.965809175893442,5.593529131452507,8.646829542827058,5.077959422518073,4.779276055095851,8.783526519507397,12.530367059739955,4.629195279916499,4.785481443127932,8.669854919833375,14.850789058174836,5.173533109827376,4.511681919649647,7.311551908882835,12.314298474786092
4,0.16,403.33812713623047,298.8094425201416,165.77808193102769,172.9305285453295,3952.0196915275174,411.70066833496094,285.0940418243408,145.77409401211864,152.06347444784893,2904.5961437913093,411.34593963623047,267.4559211730957,68.97936490460285,71.95545932686723,181.22223029815422,405.44795989990234,253.15495491027832,92.11996642637857,96.09445529909988,1290.5745087334426,400.4861068725586,244.30910110473633,177.15060577306153,184.79371658556457,3013.1727847103284,415.6044006347656,294.149866104126,2.3338045878257927,2.4344959007436344,-365.18371823697544,396.1787796020508,269.68920707702637,19.098547315855193,19.92254852576306,305.97830029269505,386.59141540527344,253.11201095581055,27.11265321031932,28.282420663290395,84.45153974035674,382.09205627441406,241.13897323608398,27.947922119514217,29.15372700404448,-671.8880092855151,402.10655212402344,303.6628246307373,43.1158549752351,44.9760758641983,433.46745979929517,380.33935546875,277.4231815338135,58.34635902762309,60.86369553690656,1154.2024958932043,374.0559387207031,260.4682445526123,60.035144150366534,62.62534279735091,500.54539414990063,372.7061462402344,250.93746185302734,69.23450135931071,72.22160356891588,110.29756890120055,388.48289489746094,307.33031272888184,57.630835505077094,60.11730096230908,532.7308606235252,369.75574493408203,282.79850006103516,48.917211107633584,51.0277298016154,719.584073018358,365.3169631958008,266.2598133087158,44.40136032441834,46.31704396379662,-14.059279379597278,365.19264221191406,256.71295166015625,52.11310673626248,54.36151140770517,-607.9372670263729,375.5170440673828,306.80700302124023,64.15244913539097,66.92028769566882,718.8502703588508,361.9789505004883,287.1900272369385,64.27402546260038,67.04710939777821,726.9672340390674,360.2981948852539,273.0434989929199,47.81511849739704,49.878087729671286,-366.008316170444,361.3787841796875,264.26605224609375,50.54736041746513,52.7282114242358,-830.3250148226053,14.21699191133241,13.009998198302801,13.502621193642323,17.8008361798386,23.991321703826767,5.676403360038779,3.7627111169239646,6.724825957984122,9.812978622988837,6.877002457086005,7.213823876572113,11.288540231401434,15.419231202496592,7.033887318408863,6.826590635192549,10.522536678385238,17.025249514483043,7.850344617654128,7.1935662955607755,9.306675418069686,14.423426931755523
5,0.2,402.5008010864258,289.3180847167969,238.20551508203263,248.48282200952718,1888.8073366049418,410.49976348876953,276.64661407470703,213.3090598680835,222.51221655370702,1761.2185526464523,410.0779342651367,262.5669479370117,126.26830789104433,131.71611691832376,1494.0164397864135,394.70287322998047,247.67297744750977,301.5677416087834,314.5787931743927,5462.10844688232,378.2156753540039,239.0747308731079,571.9324434233863,596.6083005748458,10295.364599732031,418.9424514770508,291.31879806518555,109.42328838846034,114.14432400090902,2792.745702504135,400.0170135498047,267.0707702636719,116.15789680220993,121.1694951150258,2531.1736647315684,386.9391632080078,249.91327285766602,80.43962780724078,83.91017190368517,1390.6937810098693,381.47876739501953,240.78786849975586,17.667020572613577,18.429258981982823,-268.11170055154145,400.7423400878906,301.6077518463135,61.66643449240205,64.32701468167431,483.7734704369003,382.6856231689453,274.35779571533203,96.50635450945369,100.67009280663665,995.1599317432521,374.52728271484375,253.59360694885254,172.26942441971576,179.70193809755625,2926.9148825051334,372.9912567138672,247.20431327819824,93.60050168109304,97.63886781217437,635.4316060814622,384.0205383300781,304.980525970459,126.08063874095589,131.5203508379203,1785.0762468902801,369.7757339477539,277.9626274108887,120.89784905319438,126.11395121256587,1877.1555352737614,367.1907043457031,259.22779083251953,181.9344765337358,189.78398604398512,3586.6735520047127,370.6178283691406,254.31378364562988,148.30005900725627,154.69842146019212,2508.422751312174,370.0387191772461,304.2530822753906,151.10955210122498,157.6291293078472,2267.721040304459,360.8251190185547,281.3434410095215,148.98384476874315,155.41170895735894,2209.114988989518,361.7574691772461,267.98927307128906,131.51682669471094,137.19108152296786,2182.824844832415,365.8097457885742,264.2879390716553,110.77539159421063,115.55476330201948,1570.663796944592,24.156304791713502,21.910486860451083,18.771265870375274,30.38398790681431,47.8556537268206,10.24217632007514,8.609490921524996,10.081232834131528,10.55014898226815,9.450083044352978,11.240627588837578,18.476617755303685,19.32478591498357,12.294701351925674,11.871148683695182,18.113896120144645,23.21318637289073,14.155509789968015,13.410034653855131,14.794318678988402,19.0456174638363
6,0.24,388.3155059814453,269.3602752685547,612.1359914204768,638.5464188324027,9751.589920571887,402.55619049072266,262.90700912475586,396.7659071764027,413.88425561184283,4784.300976453395,408.8814163208008,259.62435722351074,79.41384993461502,82.84013714627326,-1221.8994943012624,395.1699447631836,253.46643447875977,145.30635780582,151.575557900421,-4075.080881849292,376.7228317260742,250.73278427124023,293.8311495688839,306.50840814510974,-7252.497310743401,415.8884048461914,292.0975399017334,78.79419264551409,82.19374492558288,-798.7644768831536,401.7000961303711,268.99526596069336,63.91620814032757,66.67385415231665,-1362.3910240677287,392.2782897949219,253.81147384643555,165.26918129966103,172.39967154581436,2212.23749105323,389.31270599365234,246.9265651702881,248.8149296916692,259.5499766938498,6028.017942796675,396.1792755126953,301.9419193267822,114.3821069442387,119.31708932562738,1374.7518660988267,382.3240661621094,273.55974197387695,21.903385061483803,22.848400171442307,-1945.5423158798585,377.28038787841797,255.66301345825195,86.1032495860482,89.81814897931262,-2247.0947279560905,377.29991912841797,252.22354888916016,165.37324814059028,172.50822832000495,1871.7340126957645,378.3717727661133,304.20201301574707,142.5540134854359,148.70446449338795,429.60284138669135,367.2595977783203,275.20543098449707,93.31758059457023,97.34374017853844,-719.2552758506856,367.87139892578125,260.37074089050293,33.257329515386424,34.69220722130664,-3877.2944705669624,372.8492736816406,259.3710994720459,138.19323326142847,144.1555396884709,-263.5720442930307,364.11468505859375,302.1195602416992,157.41286579248327,164.20439761545023,164.38170769007598,358.8352966308594,278.3520698547363,89.81820013315145,93.6933799757577,-1542.958224540031,362.7082061767578,266.7700481414795,38.652379225845344,40.32002476564373,-2421.7764189331037,368.52134704589844,266.7124557495117,90.93631872059679,94.85973946098642,-517.3755960258266,49.698161545009604,38.4658570849248,22.084871356226202,36.44701022283115,60.115990052624994,13.529926117098457,11.276445087617663,16.977219695964106,20.932148050022143,14.222766617378072,12.154563595695272,22.06934371447619,26.225115047783767,18.242879931661193,15.76489829083672,19.50158440899691,28.979407960429562,20.723685694586024,17.15776985288544,16.40711966961415,22.840007042275758
7,0.28,383.46012115478516,266.6649055480957,138.83393799997359,144.82388744462483,-12343.063284694446,400.3179931640625,260.02312660217285,91.26303221022876,95.20054890809085,-7967.092667593799,410.71998596191406,260.37059783935547,49.60603152566062,51.74626917409884,-777.3466993043605,400.8469009399414,260.23146629333496,220.78480315264463,230.31049858477928,1968.3735171089572,387.15187072753906,260.97235679626465,365.3882352968121,381.1528033025014,1866.1098789347918,415.3770446777344,294.9957847595215,73.57526961205905,76.74965299195641,-136.10229834066166,397.7272033691406,269.24763679504395,99.52250979762151,103.81637922811099,928.5631268948584,388.5607147216797,252.25702285766602,100.73691695971686,105.0831816302389,-1682.9122478893864,384.5261764526367,243.7569522857666,143.52114583907976,149.7133234881404,-2745.916330142736,397.21675872802734,304.2041015625,62.21856580682306,64.90296753935654,-1360.353044656771,380.6283187866211,277.0245552062988,96.43809509551035,100.59888836034365,1943.7622047225336,376.3784408569336,259.2281913757324,91.93748559773819,95.9041013887482,152.14881023588944,376.2641143798828,253.49438667297363,40.98719426430595,42.755574712617786,-3243.8163401846796,380.8448791503906,305.7524013519287,72.97242279159913,76.1207965226351,-1814.591699268821,366.9777297973633,279.19352531433105,99.95106909865562,104.26342859421284,172.99221039186,366.70833587646484,265.6698703765869,135.63159884170125,141.48338430469923,2669.779427084815,370.1805877685547,263.5722827911377,124.42825689759565,129.79667746564735,-358.97155557058863,367.75516510009766,303.2383918762207,95.21317910022455,99.32112372450636,-1622.0818472735966,359.4477844238281,281.9736385345459,91.82490470697942,95.7866632285509,52.33208131983034,361.0320281982422,270.39356231689453,99.81053174356921,104.11682779625231,1594.9200757652145,365.0797653198242,269.5305633544922,111.20424691332822,116.002121457818,528.5595499207897,55.491117042794606,42.27387904124843,24.154722123190158,45.65943016622232,75.36210218472505,16.599912236776714,15.429100256742101,21.180546961173658,26.92068098954776,16.818885318952333,16.17851913010902,25.90550777002612,27.935338036288478,21.287711792566597,19.935435434605232,25.16091978118488,34.17127505905545,24.69653064356628,20.989236382027475,20.571792781464243,27.480091900588477
8,0.32,393.58177185058594,282.56266593933105,471.1598708671877,491.4879249978959,8666.600938831778,407.89581298828125,272.62292861938477,367.57513191290235,383.4340529302526,7205.837600554044,415.4673385620117,265.59393882751465,176.4593575519546,184.072644663151,3308.1593872263043,402.87105560302734,261.2115955352783,56.22419091795036,58.64996710795517,-4291.513286920603,387.00084686279297,259.90559577941895,26.934959564482885,28.09706047733755,-8826.393570629096,415.48439025878906,295.1765441894531,5.255773330418427,5.482532125820158,-1781.6780216534064,397.8157043457031,268.6970615386963,13.94107097201475,14.542554381112307,-2231.845621174967,387.93529510498047,250.8170986175537,39.247066086326726,40.94036921591185,-1603.570310358176,383.26122283935547,240.83847999572754,79.52039106213238,82.9512749594195,-1669.0512132180224,397.4330520629883,304.063081741333,6.455104410004475,6.733607992290525,-1454.2339886766504,380.23223876953125,275.22082328796387,46.16768494546679,48.15957614140754,-1310.9828054734028,376.55921936035156,256.20829582214355,75.63254103676147,78.89568478754087,-425.21041503018324,376.8836975097656,249.73766326904297,95.18683597429511,99.2936440321523,1413.451732988363,381.2216567993164,305.5855178833008,10.302047394551254,10.746526201093316,-1634.3567580385447,366.3054656982422,276.350154876709,73.04405547557506,76.19551977770469,-701.6977204127038,367.01290130615234,261.9031047821045,94.4764624944265,98.55262169730965,-1073.2690651847395,370.70926666259766,259.5223617553711,102.10705708027518,106.51243604354482,-582.1060355525631,368.09513092041016,303.08801651000977,9.293462411280865,9.694426115194165,-2240.667440232805,359.0214538574219,279.7067928314209,57.66469453676004,60.152620831961094,-890.8510599147453,361.6891860961914,268.33577156066895,54.004393914086435,56.334397614870824,-1194.5607545345372,366.53446197509766,266.9805335998535,73.39445699611062,76.5610392688429,-986.0270547243775,75.15063404271045,57.61124115845853,31.517627909716197,48.00542885054053,76.48598460381854,16.81921352180952,16.010802431986594,22.818161729810132,30.238731987924538,17.088229638643956,18.104902175765318,29.061335161527754,31.90708379757457,21.717572840610327,22.983256225713422,29.103024649077266,38.43177250079725,25.084307688174043,23.39534121530592,22.825168686059072,30.542533471342196
9,0.36,382.5603485107422,264.42054748535156,530.6883704410926,553.5847641874624,1552.420979739162,400.99647521972656,258.7646484375,387.0180803627148,403.7158616756605,507.04521863519716,412.0782470703125,260.42819023132324,154.4565062124317,161.1204867703418,-573.8039473202299,401.3241958618164,259.9944305419922,49.20788605409452,51.33094583319724,-182.97553186894822,386.3663101196289,259.07933235168457,26.04501068386964,27.168715013871502,-23.2086365866512,415.82210540771484,295.05955696105957,8.935096999374444,9.320599132932868,95.95167517781775,399.2958450317383,269.2950439453125,39.909267478550156,41.631141092548084,677.2146677858944,389.59686279296875,251.95429801940918,50.33655270617937,52.508308476213735,289.1984815075471,384.2506790161133,242.27703094482422,43.649544376711034,45.53279113802244,-935.4620955349263,397.8438949584961,304.0450859069824,10.280920886623468,10.72448819619114,99.77200509751538,381.8944549560547,275.9700393676758,45.581571007641124,47.548174490023094,-15.28504128461119,377.27039337158203,257.94342041015625,46.8803384305181,48.902976851586274,-749.817698398865,376.24786376953125,251.11753463745117,37.98296936270552,39.62173341073235,-1491.797765535499,381.5618133544922,305.75486183166504,9.499468895570253,9.909320688692432,-20.93013781002209,368.21155548095703,278.3276653289795,68.66460991938018,71.62712433032962,-114.20988618437669,367.89806365966797,263.966588973999,56.133097424113046,58.55494341210326,-999.9419571301596,370.73734283447266,260.84080696105957,32.96860278952995,34.39102346573457,-1803.035314445256,368.375244140625,302.9798698425293,7.506626981635153,7.830498196178228,-46.598197975398435,360.6187438964844,282.30737686157227,76.29864336427701,79.59052590417572,485.94762680536564,362.6991271972656,270.24876594543457,54.08054492943729,56.413834143394325,1.9859132130875423,367.1444320678711,268.2157230377197,34.439770446881994,35.92566421921204,-1015.8843762407716,97.29402461020895,73.75987562548495,37.96244738052987,50.058666683868424,77.57273320437339,17.192037487126832,17.676048075688517,24.91849406885868,32.06004363344543,17.5172091664916,20.006829155366244,31.017454235591202,33.491953134003865,22.113945668158024,25.848341198926605,31.445222385561397,39.80741343942663,25.397527616021176,26.578962251472948,25.081722051794845,31.979560040110677
